Имя/Салон,Ниша,Город,WhatsApp,Instagram,Источник,Сегмент,Рейтинг,Адрес,Статус,Заметка
In Beauty,Салон красоты (педикюр/маникюр),Астана,+7 701 500 00 64,,2GIS,Бизнес,4.9 (390),"Пр. Туран 55",Новый,WA подтверждён
Maftuna_Nails_Astana,Ногтевая студия,Астана,+7 702 034 58 75,,2GIS,Старт,4.9 (161),"Пр. Туран 43/5",Новый,WA подтверждён; малая студия
Beauty stars,Салон красоты,Астана,+7 708 425 44 55,,2GIS,Бизнес,4.9 (781),"Аль-Фараби 21/1, ЖК Nura EsiL",Новый,WA подтверждён; 3 филиала
Aia Nail,Ногтевая студия,Астана,+7 707 419 61 39,,2GIS,Старт,4.4 (360),"Асфендиярова 9",Новый,WA подтверждён; 3 филиала
Zarastudio,Салон красоты,Астана,+7 702 560 98 98,,2GIS,Бизнес,4.7 (1017),"Улы Дала 56/2",Новый,WA подтверждён; 2 филиала
Love Nails,Ногтевая студия,Астана,+7 708 297 38 37,,2GIS,Старт,4.8 (699),"Сарыарка 17",Новый,WA подтверждён; номинант 2026
Gulyamova_probeauty,Салон красоты (маникюр/педикюр),Астана,+7 778 787 87 84,,2GIS,Бизнес,5.0 (547),"Шолпан Иманбаевой 8",Новый,WA подтверждён; рейтинг 5.0
Ahh beauty,Салон красоты,Астана,+7 775 911 17 96,,2GIS,Бизнес,4.9 (472),"Аманжолова 22",Новый,WA подтверждён
DINARA MYNBAI,Салон красоты (сеть),Астана,+7 775 831 01 06,,2GIS,VIP,4.8 (4523),"Пр. Абылай хана 34",Новый,WA подтверждён; сеть 4 филиала — кандидат VIP
Soldi,Салон красоты,Астана,+7 775 413 72 32,,2GIS,VIP,4.9 (1494),"Асфендиярова 2",Новый,WA подтверждён; 4 филиала
Sakura,Студия красоты,Астана,+7 700 792 10 10,,2GIS,Бизнес,4.9 (492),"Достык 18, БЦ Moskva",Новый,WA подтверждён; 2 филиала
Pro balance spa,СПА-центр,Астана,+7 701 101 01 66,,2GIS,VIP,4.9 (761),"Саргуль 11",Новый,WA подтверждён; SPA — кандидат VIP
Prime,Студия красоты (брови/ресницы),Астана,+7 777 560 53 30,,2GIS,Бизнес,4.9 (421),"Сыганак 6",Новый,WA подтверждён
Ulzhanna,Студия наращивания ресниц,Астана,+7 700 226 72 59,,2GIS,Старт,4.7 (254),"Иманова 19",Новый,WA подтверждён; профильная студия ресниц
The Madam Glow,Салон красоты,Астана,+7 706 619 68 58,,2GIS,Бизнес,5.0 (105),"Шакарим Кудайбердыулы 26",Новый,WA подтверждён
Көркем,Салон красоты,Астана,+7 702 505 99 43,,2GIS,Бизнес,5.0 (118),"Байтурсынулы 33а",Новый,WA подтверждён; каз-язычный
lash_astana_muni_,Студия ресниц (одиночка),Астана,+7 771 630 32 14,,2GIS,Старт,5.0 (94),"Иманова 19",Новый,WA подтверждён; ник = IG-хэндл, похоже одиночка
Beardis,Салон красоты (брови/ресницы),Астана,+7 701 683 15 23,,2GIS,Бизнес,4.9 (488),"Кордай 77",Новый,WA подтверждён
Ayalashes.studio,Брови и ресницы (одиночка),Астана,+7 778 484 07 06,,2GIS,Старт,4.9 (228),"Сыганак 47, БЦ Евроцентр",Новый,WA подтверждён; ник = IG-хэндл, похоже одиночка
Аделия,Студия красоты (брови/ресницы),Астана,+7 775 408 55 64,,2GIS,Старт,5.0 (94),"Беимбет Майлин 19",Новый,WA подтверждён; малая студия
